Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active
US,2020-04-01 21:58:49,22,0,0,0
US,2020-04-01 21:58:49,23,1,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,131,1,0,0
US,2020-04-01 21:58:49,3,1,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,96,2,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,12,0,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,5,0,0,0
US,2020-04-01 21:58:49,4,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,14,1,0,0
US,2020-04-01 21:58:49,10,0,0,0
US,2020-04-01 21:58:49,9,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,6,1,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,17,1,0,0
US,2020-04-01 21:58:49,2,0,0,0
US,2020-04-01 21:58:49,34,1,0,0
US,2020-04-01 21:58:49,3,0,0,0
US,2020-04-01 21:58:49,1,1,0,0
US,2020-04-01 21:58:49,8,0,0,0
US,2020-04-01 21:58:49,1,0,0,0
US,2020-04-01 21:58:49,3,1,0,0
US,2020-04-01 21:58:49,16,0,0,0
