Country/Region,French Name,Continent,Last Update,Confirmed,Deaths,Recovered,Existing
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Australia,Australie,Océanie,2020-03-25 23:33:04,2364,8,119,2237
Canada,Canada,Amérique du Nord,2020-03-25 23:33:04,3251,30,183,3038
China,Chine,Asie,2020-03-25 23:33:04,81661,3285,73773,4603
Denmark,Danemark,Europe,2020-03-25 23:33:04,1862,34,41,1787
France,France,Europe,2020-03-25 23:33:04,25600,1333,3907,20360
Netherlands,Pays-Bas,Europe,2020-03-25 23:33:04,6438,357,4,6077
United Kingdom,Royaume-Uni,Europe,2020-03-25 23:33:04,9640,466,140,9034
United States of America,États-Unis,Amérique du Nord,2020-03-25 23:33:04,65778,942,361,64475
Republic of Serbia,Serbie,Europe,2020-03-25 23:33:04,303,3,15,285
Slovakia,Slovaquie,Europe,2020-03-25 23:33:04,204,0,7,197
Macedonia,Macédoine du Nord,Europe,2020-03-25 23:33:05,148,2,1,145
